Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1129,22,28/03/2023 02:30,Crypto.com Arena,LA Clippers,Chicago Bulls,
1130,22,28/03/2023 23:00,Capital One Arena,Washington Wizards,Boston Celtics,
1131,22,28/03/2023 23:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
1132,22,28/03/2023 23:30,Scotiabank Arena,Toronto Raptors,Miami Heat,
1133,22,29/03/2023 00:00,FedExForum,Memphis Grizzlies,Orlando Magic,
1134,22,29/03/2023 00:00,Paycom Center,Oklahoma City Thunder,Charlotte Hornets,
1135,22,29/03/2023 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,
1136,22,29/03/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
1137,22,29/03/2023 23:30,Barclays Center,Brooklyn Nets,Houston Rockets,
1138,22,29/03/2023 23:30,Madison Square Garden,New York Knicks,Miami Heat,
1139,22,29/03/2023 23:30,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,
1140,22,30/03/2023 00:00,United Center,Chicago Bulls,Los Angeles Lakers,
1141,22,30/03/2023 00:00,FedExForum,Memphis Grizzlies,LA Clippers,
1142,22,30/03/2023 00:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,
1143,22,30/03/2023 00:00,AT&T Center,San Antonio Spurs,Utah Jazz,
1144,22,30/03/2023 02:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,
1145,22,30/03/2023 02:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
1146,23,30/03/2023 23:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
1147,23,31/03/2023 02:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
1148,23,31/03/2023 23:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,
1149,23,31/03/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Oklahoma City Thunder,
1150,23,31/03/2023 23:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
1151,23,31/03/2023 23:00,Capital One Arena,Washington Wizards,Orlando Magic,
1152,23,31/03/2023 23:30,TD Garden,Boston Celtics,Utah Jazz,
1153,23,31/03/2023 23:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,
1154,23,31/03/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
1155,23,01/04/2023 00:00,Toyota Center,Houston Rockets,Detroit Pistons,
1156,23,01/04/2023 00:00,FedExForum,Memphis Grizzlies,LA Clippers,
1157,23,01/04/2023 00:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,
1158,23,01/04/2023 02:00,Chase Center,Golden State Warriors,San Antonio Spurs,
1159,23,01/04/2023 02:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
1160,23,01/04/2023 02:30,Footprint Center,Phoenix Suns,Denver Nuggets,
1161,23,01/04/2023 23:30,Miami-Dade Arena,Miami Heat,Dallas Mavericks,
1162,23,02/04/2023 00:30,Smoothie King Center,New Orleans Pelicans,LA Clippers,
1163,23,02/04/2023 17:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
1164,23,02/04/2023 19:30,Barclays Center,Brooklyn Nets,Utah Jazz,
1165,23,02/04/2023 19:30,United Center,Chicago Bulls,Memphis Grizzlies,
1166,23,02/04/2023 19:30,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
1167,23,02/04/2023 22:00,State Farm Arena,Atlanta Hawks,Dallas Mavericks,
1168,23,02/04/2023 22:00,Madison Square Garden,New York Knicks,Washington Wizards,
1169,23,02/04/2023 22:00,Amway Center,Orlando Magic,Detroit Pistons,
1170,23,02/04/2023 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,
1171,23,02/04/2023 23:00,Toyota Center,Houston Rockets,Los Angeles Lakers,
1172,23,02/04/2023 23:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,
1173,23,03/04/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
1174,23,03/04/2023 00:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
1175,23,03/04/2023 00:30,Ball Arena,Denver Nuggets,Golden State Warriors,
1176,23,04/04/2023 23:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
1177,23,04/04/2023 23:00,Little Caesars Arena,Detroit Pistons,Miami Heat,
1178,23,04/04/2023 23:00,Amway Center,Orlando Magic,Cleveland Cavaliers,
1179,23,04/04/2023 23:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
1180,23,04/04/2023 23:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,
1181,23,05/04/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
1182,23,05/04/2023 00:00,United Center,Chicago Bulls,Atlanta Hawks,
1183,23,05/04/2023 00:00,Toyota Center,Houston Rockets,Denver Nuggets,
1184,23,05/04/2023 00:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,
1185,23,05/04/2023 00:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
1186,23,05/04/2023 01:00,Vivint Arena,Utah Jazz,Los Angeles Lakers,
1187,23,05/04/2023 02:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,
1188,23,05/04/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,
1189,23,05/04/2023 23:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
1190,23,05/04/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,
1191,23,05/04/2023 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,
1192,23,05/04/2023 23:30,TD Garden,Boston Celtics,Toronto Raptors,
1193,23,05/04/2023 23:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
1194,23,06/04/2023 00:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
1195,23,06/04/2023 00:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,
1196,23,06/04/2023 02:00,Crypto.com Arena,LA Clippers,Los Angeles Lakers,
1197,24,06/04/2023 23:00,Amway Center,Orlando Magic,Cleveland Cavaliers,
1198,24,06/04/2023 23:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
1199,24,07/04/2023 00:00,Moody Center,San Antonio Spurs,Portland Trail Blazers,
1200,24,07/04/2023 01:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,
1201,24,07/04/2023 02:00,Footprint Center,Phoenix Suns,Denver Nuggets,
1202,24,07/04/2023 23:00,Spectrum Center,Charlotte Hornets,Houston Rockets,
1203,24,07/04/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,
1204,24,07/04/2023 23:00,Capital One Arena,Washington Wizards,Miami Heat,
1205,24,07/04/2023 23:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
1206,24,07/04/2023 23:30,TD Garden,Boston Celtics,Toronto Raptors,
1207,24,07/04/2023 23:30,Barclays Center,Brooklyn Nets,Orlando Magic,
1208,24,08/04/2023 00:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,
1209,24,08/04/2023 00:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,
1210,24,08/04/2023 00:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,
